中文,英文
让某人惊叹,take sb's breath away
只有,nothing but
准备做某事,ready to do sth
起立,stand up
与...作战,fight against sb / sth
成千上万的,thousands of
相聚,get together
在阳光下,in the sun
把...加入...,add sth to sth
去购物,go shopping
寻宝游戏,treasure hunt
顺便送某人,give sb a lift
当心,be careful with
做笔记,take notes
清扫,clean up
寻找,look for
与...分享...,share sth with sb
不论,no matter
散步,take a walk
与...相连,be connected with / to
为了,in order to
参与某事,play a part (in sth)
发挥作用,play a role (in)
切碎,cut up
与...混合,mix ... with ...
把...放回,put sth back
把...倒入...,pour sth into sth
把...切成...,cut sth in / into sth
用...充满...,fill ... with ...
与...一起,along with sb / sth
热身,warm up
继续做某事,keep on doing sth
确保,make sure
尽最大努力,try one's best
坚持,stick to sth
与...有关系,have (...) to do with sb / sth
开始从事,take up
扑灭,put out
即将结束,draw to a close
有共同之处,have sth in common
关心,care about
伸手触碰,reach for
帮助某人,lend (sb) a hand
面对面,face to face
发短信,text message
给某人写信,drop sb a line
与...言归于好,make up (with sb)
对...表现出兴趣,show interest in sth
偶然,by accident
取决于,depend on / upon
为...担心,worry about
亲自,in person
