中文,英文
问候,greet
每个,each
另外的人（或物）,other
互相；彼此,each other
每人；所有人,everyone
开始,start
谈话,conversation
拼写,spell
橡皮,eraser
东西,thing
需要,need
乐趣,fun
院子,yard
数数,count
另一；又一,another
其他的,else
圈出,circle
交朋友,make friends
认识；了解,get to know
完整的,full
全名,full name
年级,grade
姓氏,last name
同班同学,classmate
班主任,class teacher
名字,first name
错误,mistake
国家,country
相同的,same
双胞胎之一,twin
两个；两个都,both
乐队,band
锅,pot
很；非常,a lot
豆腐,tofu
鹦鹉,parrot
吉他,guitar
网球,tennis
页面,page
甚至,even
弹吉他,play the guitar
想,would
信息,information
业余爱好,hobby
意思是,mean
丈夫,husband
球棒,bat
乒乓球拍,ping-pong bat
打乒乓球,play ping-pong
在一起,together
每天,every day
钓竿,fishing rod
花（时间、钱等）,spend
大量；许多,a lot of
非常,really
成员,member
活动,activity
国际象棋,chess
中国象棋,Chinese chess
祖父（母）,grandparent
好笑的,funny
笑,laugh
不同的,different
小提琴,violin
玩得高兴,have fun
帽子,hat
英俊的,handsome
膝,knee
在夜晚,at night
在中间,in the middle
（外）孙子,grandchild
儿子,son
远足,hike
远足,go hiking
紧邻,next to
礼堂,hall
餐厅,dining hall
在......前面,in front of
建筑物,building
在（......）对面,across
在对面,across from
中心,centre
体育馆,gym
场地,field
运动场,sports field
办公室,office
大的,large
特别的,special
智能的,smart
白板,whiteboard
张贴,put up
重要的,important
通知,notice
寄物柜,locker
抽屉,drawer
在（......）后面,at the back (of)
角,corner
书架,bookcase
屏幕,screen
在学校,at school
与......不一样,different from
现代的,modern
做体操,do exercises
令人惊奇的,amazing
使升高,raise
旗帜,flag
大多数,most
改变,change
座位,seat
美味的,delicious
你的,yours
发送,send
类似的,similar
类似的,similar to
听起来,sound
生物学,biology
信息技术,IT
地理,geography
历史,history
乏味的,boring
有用的,useful
令人激动的,exciting
过去,past
灵巧的,good with
数字,number
帮助某人做（某事）,help sb with
原因,reason
听,listen to
擅长,good at
记住,remember
如同,as
法语,French
优秀的,excellent
乐器,instrument
歌手,singer
将来,future
在将来,in the future
学期,term
计算出,work out
难题,problem
在课堂上,in class
魔法,magic
生活,life
科学家,scientist
俱乐部,club
参加,join
选择,choose
戏剧,drama
下中国象棋,play Chinese chess
感觉,feeling
消息,news
音乐的,musical
乐器,musical instrument
正是如此,exactly
鼓,drum
能力,ability
用颜料画,paint
攀登,climb
更多,more
扮演,act
表演,act out
在家里,at home
感兴趣的,interested
对......感兴趣,interested in
自然界,nature
牛肉,beef
不久,soon
比,than
多于,more than
头脑,mind
进入,fall
爱上,fall in love with
拍照,take photos
收集,collect
昆虫,insect
发现,discover
野生动物,wildlife
使用,make use of
一刻钟,quarter
淋浴,shower
淋浴,take a shower
穿衣服,get dressed
刷,brush
牙齿,tooth
值班,duty
值班,on duty
通常地,usually
起床,get up
记者,reporter
大约,around
家庭作业,homework
上床睡觉,go to bed
谚语,saying
起床,rise
停留,stay
常规,routine
餐馆,restaurant
家务劳动,housework
一段时间,while
周末,weekend
在周末,at weekends
每日的,daily
日常生活,daily routine
只,only
休息,break
结束,finish
冰球,hockey
已经,already
昏暗的,dark
在外面,outside
部分,part
每天的,everyday
准备,prepare
为......把某物准备好,prepare sth for
庆祝,celebrate
惊奇,surprise
某事,something
出售,sale
千克,kilo
酸奶,yogurt
总数,total
价格,price
气球,balloon
巧克力,chocolate
比萨饼,pizza
名单,list
自己的,own
例子,example
例如,for example
语言,language
国际的,international
做记号,mark
国家的,national
创建,found
有意义的,meaningful
许愿,make a wish
庆典,celebration
帖子,post
联系,contact
象征,symbol
拍照,take a photo
村庄,village
成长,grow
吹,blow
吹灭,blow out
享受,enjoy
身高,height
以后,later
下次,next time
